Summary,Issue key,Issue Type,Status,Project name,Project lead id,Resolution,Created,Updated,Resolved,Log Work
Try to get access to new screens,TRT-1195,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/08 10:53,2021/03/09 21:14,2021/03/09 21:14,
Data Collection-Khanya,TRT-1190,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/08 09:43,2021/03/15 09:33,2021/03/15 09:33,
Profile: Desktop 105 Success Dialogue,TRT-1184,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/03 00:03,2021/03/03 02:38,2021/03/03 02:38,
Profile: Desktop 105 Unsuccessful Dialogue,TRT-1183,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/03 00:03,2021/03/03 02:38,2021/03/03 02:38,
Investigating how to import Material UI Components into Tesseract,TRT-1177,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/02 09:42,2021/03/24 10:29,2021/03/24 10:29,
Profile: Desktop #92,TRT-1175,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/01 16:19,2021/03/03 00:01,2021/03/03 00:01,
Desktop 102: Profile Squad,TRT-1166,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/26 13:48,2021/03/01 16:18,2021/03/01 16:18,
Profile: Screen 06 (Desktop 83),TRT-1143,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/12 10:51,2021/02/15 18:07,2021/02/15 18:07,
Profile: Screen (desktop 87),TRT-1142,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/11 09:26,2021/02/12 05:42,2021/02/12 05:42,
E-sim Screen 05: Number not in context,TRT-1140,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/10 12:20,2021/02/18 09:31,2021/02/10 12:24,
Screen 06: LTE,TRT-1138,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/10 08:37,2021/02/26 13:47,2021/02/26 13:47,
Screen 05: LTE,TRT-1137,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/10 08:37,2021/02/25 17:30,2021/02/25 17:30,
Add Font-family into my system,TRT-1127,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/08 21:35,2021/03/03 15:16,2021/03/03 15:16,
e-sim screen 04 (Terms and Conditions),TRT-1126,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/08 21:34,2021/02/09 16:50,2021/02/09 16:49,
e-sim screen 03 (Success_SMS_sent),TRT-1125,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/08 21:34,2021/02/09 14:56,2021/02/09 14:55,
e-sim screen 02 (Dont qualify),TRT-1124,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/08 21:34,2021/02/09 11:29,2021/02/09 11:29,
e-sim screen 1  (LTE twins),TRT-1123,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/08 12:09,2021/02/09 10:03,2021/02/08 21:35,
Data Collection Kanya,TRT-1120,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/02/08 09:47,2021/03/03 15:16,2021/03/03 15:16,
Alerting ,AO-8913,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/02/03 19:22,2021/02/03 19:23,2022/05/22 00:46,Valid Business Error ;03/Feb/21 7:23 PM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
Update Monitoring,AO-8912,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/02/03 19:22,2021/02/03 19:23,2022/05/22 00:44,Valid Business Error ;03/Feb/21 7:22 PM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
Review Test Coverage,AO-8911,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/02/03 19:22,2021/02/03 19:22,2022/05/22 00:42,Valid Business Error ;03/Feb/21 7:22 PM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
fix list manager,TRT-1105,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/01/29 09:39,2021/02/03 09:28,2021/02/03 09:28,
Alerting ,AO-8651,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/01/22 12:29,2021/01/22 12:38,2022/05/22 00:38,Valid Business Error;22/Jan/21 12:38 PM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
Update Monitoring,AO-8650,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/01/22 12:29,2021/01/22 12:37,2022/05/22 00:35,Valid Business Error;22/Jan/21 12:37 PM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
Review Test Coverage,AO-8649,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/01/22 12:29,2021/01/22 12:37,2022/05/22 00:33,Valid Business Error ;22/Jan/21 12:29 PM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
Alerting ,AO-8615,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/01/20 11:52,2021/01/20 11:54,2022/05/22 00:35,Valid Business Error. - N/A;20/Jan/21 11:54 AM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
Update Monitoring,AO-8614,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/01/20 11:52,2021/01/20 11:54,2022/05/22 00:33,Valid Business Error. - N/A;20/Jan/21 11:54 AM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
Review Test Coverage,AO-8613,Testing Subtask,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2021/01/20 11:52,2021/01/20 11:54,2022/05/22 00:31,Valid Business Error. - N/A;20/Jan/21 11:53 AM;ug:5271f452-edbf-46da-83a6-b45078aced8e;3600
Canvas - Table manager,TRT-1085,Story,In Progress,Tesseract,61d439b0ce3652006ab7ce72,,2021/01/20 09:06,2021/09/20 10:42,,
Help CVM Team to use Tesseract,TRT-1083,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/01/15 09:25,2021/07/26 13:32,2021/07/26 13:32,
merge development into branch,TRT-1078,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/01/13 22:05,2021/01/18 09:27,2021/01/18 09:27,
Root Cause Analysis (RCA),AO-7746,Task,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2020/12/10 03:51,2023/03/09 12:30,2023/03/09 12:30,
"ADOBE-App error report (You cannot use the service, because: You haven’t been active on the Vodacom network for the last 3 months. OR You haven’t recharged with at least R29 per month over the last 3 months.) 02/12/2020",AO-7745,Incident,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2020/12/10 03:38,2023/03/09 12:30,2023/03/09 12:30,
Root Cause Analysis (RCA),AO-7744,Task,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2020/12/10 03:27,2023/03/09 12:31,2023/03/09 12:31,
"ADOBE-App error report (You cannot use the service, because: You haven’t been active on the Vodacom network for the last 3 months. OR You haven’t recharged with at least R29 per month over the last 3 months.) 02/12/2020",AO-7743,Incident,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2020/12/10 03:03,2023/03/09 12:31,2023/03/09 12:31,
Root Cause Analysis (RCA),AO-7161,Task,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2020/11/27 13:23,2023/03/09 12:31,2023/03/09 12:31,
"ADOBE- App Error Report(you cannot use the service, because: you haven’t been active on the vodacom network for the last 3) 25/11/2020",AO-7089,Incident,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2020/11/26 14:40,2023/03/09 12:31,2023/03/09 12:31,
ADOBE - App Error Report(unfortunately we are having technical issues on this functionality and are working to resolve these) 24/11/2020,AO-6991,Incident,Done,Application Operations,5b3527d2941e4f3aca7eefcb,Done,2020/11/25 11:47,2023/03/09 12:31,2023/03/09 12:31,
Learn how to build new components,TRT-1068,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/11/16 17:46,2021/01/19 21:38,2021/01/19 21:38,
unit test,TRT-1067,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/11/12 08:31,2020/11/15 22:59,2020/11/15 22:59,
update projectService to use context API ,TRT-1064,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/11/10 16:53,2020/11/12 08:30,2020/11/12 08:30,
Refresh app on logout,TRT-1063,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/11/10 14:23,2020/11/10 14:51,2020/11/10 14:51,
